ID,Name,Acronym,YearsListed,dblp_venue,mta_class
1271,International Conference on Web Information Systems Engineering,WISE,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_B, CORE2023_B",conf/wise,6
1033,International Conference on Formal Ontology in Information Systems,FOIS,"ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_B, CORE2023_B",conf/fois,3
117,Annual Computer Security Applications Conference,ACSAC,"ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2023_A",conf/acsac,6
1960,International Conference on AI in Design,AID,"CORE2008_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A",conf/aid,6
1961,International Conference on Artificial Intelligence in Education,AIED,"CORE2008_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/aied,6
150,Artificial Intelligence in Medicine,AIIM,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A",,6
97,Advances in Modal Logic,AiML,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_B, CORE2023_B",conf/aiml,3
913,International Conference on Artificial Intelligence and Statistics,AISTATS,"ERA2010_B, CORE2013_B, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/aistats,6
1870,Workshop on Algorithm Engineering and Experiments,ALENEX,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_A, CORE2023_A",conf/alenex,3
1240,International Conference on the Simulation and Synthesis of Living Systems,ALIFE,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A, CORE2020_A, CORE2021_C, CORE2023_C",,6
115,Americas Conference on Information Systems,AMCIS,"CORE2008_B, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A",conf/amcis,6
1968,American Medical Informatics Annual Fall Symposium,AMIA,"CORE2008_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A",conf/amia,6
191,Aspect-Oriented Software Development,AOSD,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A",,6
141,Application of Computers and Operations Research in the Minerals Industries,APCOMin,"CORE2008_C, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A",,6
908,"International Conference on Application-specific Systems, Architectures and Processors",ASAP,"CORE2008_A, ERA2010_A, CORE2013_A, CORE2014_A, CORE2017_A, CORE2018_A",conf/asap,6
